Time	Ticks	Date	Temperature	Shutter	Lichtmenge	ThermoBad	TempExt	SollTemp	TempablMz	AmpCut.5	TauCut.5	ErrCut.5	GCut'.5	GCut''.5	GCutNP.5	GCutErr.5	AmpAll.5	TauAll.5	ErrAll.5	GAll'.5	GAll''.5	GAllNP.5	GAllErr.5	TimeOffsLipp
Time	100 ns ticks since 1.1.0001	Date	Temperature	Shutter	Lichtmenge	Temperatur_Thermostatbad	Temperatur_Extern	Solltemperatur	TemperaturableitungMesszelle	AmpCut.5	TauCut.5	ErrCut.5	GCut'.5	GCut''.5	GCutNP.5	GCutErr.5	AmpAll.5	TauAll.5	ErrAll.5	GAll'.5	GAll''.5	GAllNP.5	GAllErr.5	TimeOffset to Spectrometer
s			°C		W/cm²	°C		°C	K/s	Vs	sec		Pa	Pa	Pa	Pa	Vs	sec		Pa	Pa	Pa	Pa	s
900.024	6.3387570779931238E+17	03.09.2009 10:32:59.931	20	0	-2E-10	19.74	27.737	20	1.06406167457128E-05	6.24060774169235E-09	2.82257878348609E-05	4.53917418781202E-05					4.42804817201357E-08	2.8197436060822E-05	3.97090070691775E-06					-0.0113457
930.025	6.3387570809930432E+17	03.09.2009 10:33:29.930	20.01	0	-2E-10	19.74	27.694	20	-9.07710504210257E-06	6.24001032857959E-09	2.82257934667009E-05	4.34640714956913E-05					4.42775613271955E-08	2.81974378909485E-05	1.22216772524553E-06					-0.0092451
960.026	6.3387570839930138E+17	03.09.2009 10:33:59.930	20	0	-2E-10	19.73	27.734	20	-3.14671751980677E-05	6.23904918659927E-09	2.82257895824179E-05	4.43127064500004E-05					4.42739200777701E-08	2.81974386331016E-05	3.43453189088905E-06					-0.0076623
990.027	6.338757086993024E+17	03.09.2009 10:34:29.930	20	0	-2E-10	19.75	27.776	20	-3.9881291977321E-05	6.23900825885011E-09	2.82257861376955E-05	4.2636958824005E-05					4.42668831454142E-08	2.81974379220334E-05	4.91679611513973E-06					-0.0218451
1020.028	6.3387570899929664E+17	03.09.2009 10:34:59.929	20	0	-2E-10	19.74	27.75	20	-3.79330147707369E-05	6.23850854423535E-09	2.82257925513949E-05	4.16336370108183E-05					4.42604667305456E-08	2.81974419358776E-05	3.39731764142925E-06					-0.0203011
1050.028	6.33875709299298E+17	03.09.2009 10:35:29.929	20.01	0	-2E-10	19.73	27.787	20	-2.84818356128246E-06	6.23769989112691E-09	2.82257907075474E-05	3.99607270082925E-05					4.42557032686432E-08	2.81974416211424E-05	4.99237830808852E-06					-0.0190171
1080.029	6.3387570959930624E+17	03.09.2009 10:35:59.930	20	0	-2E-10	19.72	27.779	20	1.25105834005867E-05	6.2396631028367E-09	2.82257873105452E-05	4.55440422229003E-05					4.42679393453926E-08	2.81974345512592E-05	6.06715184403583E-06					-0.0182483
1110.031	6.3387570989932262E+17	03.09.2009 10:36:29.932	20	0	-2E-10	19.73	27.811	20	-3.26490592871093E-06	6.24015819657656E-09	2.82257849377678E-05	4.30892541771755E-05					4.42714010408217E-08	2.81974315651612E-05	5.40827977602021E-06					-0.0174791
1140.032	6.3387571019932659E+17	03.09.2009 10:36:59.932	20	0	-2E-10	19.74	27.839	20	-2.06971944786686E-05	6.23906502959895E-09	2.82257837477971E-05	4.36983063991647E-05					4.42685096933809E-08	2.81974293270448E-05	4.61729268863564E-06					-0.0167103
1170.033	6.3387571049933286E+17	03.09.2009 10:37:29.933	20	0	-2E-10	19.74	27.82	20	-2.22316364107926E-05	6.23921091722096E-09	2.82257813058072E-05	4.12223962484859E-05					4.42678073203953E-08	2.81974290783652E-05	1.94923472918163E-06					-0.0315663
1200.033	6.3387571079933965E+17	03.09.2009 10:37:59.933	20	0	-2E-10	19.73	27.913	20	-1.81175988228949E-05	6.23727939151052E-09	2.8225784831399E-05	4.45278274128214E-05					4.42621698530108E-08	2.81974290220237E-05	2.850545797628E-06					-0.0151723
